Technology,EU,EU,NE Asia,NE Asia,S&SE,S&SE,NA,NA,LAC,LAC,MENA,MENA,SSA,SSA
,2017,2025,2017,2025,2017,2025,2017,2025,2017,2025,2017,2025,2017,2025
Copper,7,0,0,0,3,3,3,1,5,1,5,1,6,1
Fiber,21,33,81,81,4,20,73,74,13,22,11,21,10,16
Microwave (7-40GHz),74,61,89,87,89,87,81,79,86,76,92,84,89,86
Microwave (41-100GHz),90,90,95,96,89,92,94,95,86,87,92,93,89,91
Satellite,92,92,96,97,91,94,95,96,90,89,97,97,95,96
Sub-6GHz Unlicensed,95,96,97,98,91,94,95,97,95,97,97,97,95,96
Sub-6GHz Licensed,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Technology,EU,EU,NE Asia,NE Asia,S&SE,S&SE,NA,NA,LAC,LAC,MENA,MENA,SSA,SSA
,2017,2025,2017,2025,2017,2025,2017,2025,2017,2025,2017,2025,2017,2025
Copper,7,0,0,0,3,3,3,1,5,1,5,1,6,1
Fiber,14,33,81,81,1,17,70,73,9,21,6,20,4,15
Microwave (7-40GHz),53,28,8,6,85,67,9,5,73,54,81,63,79,70
Microwave (41-100GHz),16,29,6,9,0,5,12,16,0,11,0,9,0,5
Satellite,2,2,1,1,2,2,1,1,4,3,5,4,6,5
Sub-6GHz Unlicensed,3,4,1,1,0,0,1,1,5,8,0,0,0,0
Sub-6GHz Licensed,5,4,3,2,9,6,5,3,5,3,3,3,5,4
,,,,,,,,,,,,,,
Total,100,100,100,100,100,100,100,100,100,100,100,100,100,100
