country,year,penetration
SEN,2005,15.6
SEN,2006,26.2
SEN,2007,31.07
SEN,2008,44.89
SEN,2009,55.95
SEN,2010,65.81
SEN,2011,71.76
SEN,2012,85.59
SEN,2013,95.29
SEN,2014,101.45
SEN,2015,102.61
SEN,2016,101.29
SEN,2017,102.2
SEN,2018,103.97
SEN,2019,104.86
SEN,2020,105.77
SEN,2021,106.68
SEN,2022,107.6
SEN,2023,108.53
SEN,2024,109.47
SEN,2025,110.42
SEN,2026,111.37
SEN,2027,112.33
SEN,2028,113.3
SEN,2029,114.28
SEN,2030,115.27
UGA,2005,4.75
UGA,2006,7.03
UGA,2007,14.23
UGA,2008,28.11
UGA,2009,29.87
UGA,2010,39.56
UGA,2011,49.88
UGA,2012,47.33
UGA,2013,50.62
UGA,2014,55.18
UGA,2015,52.9
UGA,2016,57.6
UGA,2017,60.6
UGA,2018,62.11
UGA,2019,63.66
UGA,2020,65.25
UGA,2021,66.88
UGA,2022,68.55
UGA,2023,70.26
UGA,2024,72.01
UGA,2025,73.81
UGA,2026,75.65
UGA,2027,77.54
UGA,2028,79.47
UGA,2029,81.45
UGA,2030,83.48
ETH,2005,0.54
ETH,2006,1.1
ETH,2007,1.5
ETH,2008,2.36
ETH,2009,4.75
ETH,2010,7.82
ETH,2011,15.67
ETH,2012,22.13
ETH,2013,26.89
ETH,2014,31.08
ETH,2015,41.96
ETH,2016,49.44
ETH,2017,37.22
ETH,2018,38.18
ETH,2019,39.17
ETH,2020,40.18
ETH,2021,41.22
ETH,2022,42.28
ETH,2023,43.37
ETH,2024,44.49
ETH,2025,45.64
ETH,2026,46.82
ETH,2027,48.03
ETH,2028,49.27
ETH,2029,50.54
ETH,2030,51.85
BGD,2005,6.47
BGD,2006,13.58
BGD,2007,24.09
BGD,2008,30.93
BGD,2009,35.2
BGD,2010,46.03
BGD,2011,56.52
BGD,2012,64.36
BGD,2013,76.3
BGD,2014,82.1
BGD,2015,84.08
BGD,2016,86.08
BGD,2017,94.53
BGD,2018,98.84
BGD,2019,103.34
BGD,2020,105.7
BGD,2021,108.11
BGD,2022,110.57
BGD,2023,113.09
BGD,2024,115.67
BGD,2025,118.3
BGD,2026,121.0
BGD,2027,123.76
BGD,2028,126.58
BGD,2029,129.46
BGD,2030,132.41
PER,2005,20.04
PER,2006,32.45
PER,2007,54.41
PER,2008,73.35
PER,2009,85.79
PER,2010,100.3
PER,2011,110.92
PER,2012,99.6
PER,2013,100.06
PER,2014,105.95
PER,2015,112.36
PER,2016,119.42
PER,2017,123.76
PER,2018,131.09
PER,2019,134.98
PER,2020,138.98
PER,2021,143.09
PER,2022,147.33
PER,2023,151.7
PER,2024,156.19
PER,2025,160.82
PER,2026,165.58
PER,2027,170.49
PER,2028,175.54
PER,2029,180.74
PER,2030,186.09
MWI,2005,3.34
MWI,2006,4.78
MWI,2007,7.88
MWI,2008,10.98
MWI,2009,17.59
MWI,2010,21.44
MWI,2011,26.41
MWI,2012,30.18
MWI,2013,33.4
MWI,2014,34.58
MWI,2015,39.22
MWI,2016,41.72
MWI,2017,43.99
MWI,2018,45.15
MWI,2019,46.35
MWI,2020,47.58
MWI,2021,48.84
MWI,2022,50.13
MWI,2023,51.46
MWI,2024,52.82
MWI,2025,54.22
MWI,2026,55.65
MWI,2027,57.13
MWI,2028,58.64
MWI,2029,60.19
MWI,2030,61.78
ZAF,2005,70.93
ZAF,2006,81.8
ZAF,2007,86.12
ZAF,2008,90.4
ZAF,2009,91.99
ZAF,2010,98.35
ZAF,2011,123.07
ZAF,2012,129.45
ZAF,2013,143.17
ZAF,2014,145.35
ZAF,2015,158.88
ZAF,2016,146.62
ZAF,2017,155.23
ZAF,2018,159.91
ZAF,2019,162.32
ZAF,2020,164.77
ZAF,2021,167.25
ZAF,2022,169.77
ZAF,2023,172.33
ZAF,2024,174.93
ZAF,2025,177.57
ZAF,2026,180.24
ZAF,2027,182.96
ZAF,2028,185.72
ZAF,2029,188.52
ZAF,2030,191.36
