Country,Settlement,Type,Value
Bangladesh,Urban,Basic,33
Cambodia,Urban,Basic,35
Ghana,Urban,Basic,47
India,Urban,Basic,45
Kenya,Urban,Basic,32.5
Mozambiq,Urban,Basic,61.3
Nepal,Urban,Basic,37.3
Nigeria,Urban,Basic,26.3
Pakistan,Urban,Basic,43.5
Rwanda,Urban,Basic,51
Senegal,Urban,Basic,50
South Africa,Urban,Basic,29
Sri Lanka,Urban,Basic,40
Tanzania,Urban,Basic,52
Uganda,Urban,Basic,49.5
Bangladesh,Rural,Basic,42
Cambodia,Rural,Basic,44
Ghana,Rural,Basic,62
India,Rural,Basic,62
Kenya,Rural,Basic,69
Mozambiq,Rural,Basic,91
Nepal,Rural,Basic,44
Nigeria,Rural,Basic,38
Pakistan,Rural,Basic,58
Rwanda,Rural,Basic,72
Senegal,Rural,Basic,68
South Africa,Rural,Basic,49
Sri Lanka,Rural,Basic,47
Tanzania,Rural,Basic,78
Uganda,Rural,Basic,81
Bangladesh,Urban,Feature,40
Cambodia,Urban,Feature,5
Ghana,Urban,Feature,14
India,Urban,Feature,15
Kenya,Urban,Feature,13
Mozambiq,Urban,Feature,7
Nepal,Urban,Feature,8
Nigeria,Urban,Feature,43
Pakistan,Urban,Feature,23
Rwanda,Urban,Feature,23
Senegal,Urban,Feature,14
South Africa,Urban,Feature,8
Sri Lanka,Urban,Feature,6
Tanzania,Urban,Feature,9
Uganda,Urban,Feature,15
Bangladesh,Rural,Feature,35
Cambodia,Rural,Feature,12
Ghana,Rural,Feature,12
India,Rural,Feature,17
Kenya,Rural,Feature,14
Mozambiq,Rural,Feature,4
Nepal,Rural,Feature,9
Nigeria,Rural,Feature,46
Pakistan,Rural,Feature,26
Rwanda,Rural,Feature,25
Senegal,Rural,Feature,9
South Africa,Rural,Feature,9
Sri Lanka,Rural,Feature,7
Tanzania,Rural,Feature,12
Uganda,Rural,Feature,11
Bangladesh,Urban,Smartphone,27
Cambodia,Urban,Smartphone,60
Ghana,Urban,Smartphone,39
India,Urban,Smartphone,40
Kenya,Urban,Smartphone,55
Mozambiq,Urban,Smartphone,31
Nepal,Urban,Smartphone,54
Nigeria,Urban,Smartphone,30
Pakistan,Urban,Smartphone,33
Rwanda,Urban,Smartphone,25
Senegal,Urban,Smartphone,36
South Africa,Urban,Smartphone,63
Sri Lanka,Urban,Smartphone,53
Tanzania,Urban,Smartphone,39
Uganda,Urban,Smartphone,36
Bangladesh,Rural,Smartphone,22
Cambodia,Rural,Smartphone,44
Ghana,Rural,Smartphone,26
India,Rural,Smartphone,20
Kenya,Rural,Smartphone,17
Mozambiq,Rural,Smartphone,5
Nepal,Rural,Smartphone,47
Nigeria,Rural,Smartphone,16
Pakistan,Rural,Smartphone,16
Rwanda,Rural,Smartphone,3
Senegal,Rural,Smartphone,24
South Africa,Rural,Smartphone,41
Sri Lanka,Rural,Smartphone,45
Tanzania,Rural,Smartphone,10
Uganda,Rural,Smartphone,8
